,Created,GPS,Location,Model,POST ID,latitude,longitude
130,2021:01:06 19:24:58,"38 deg 53' 26.16"" N, 77 deg 0' 44.28"" W",True,iPhone 12 Pro,7Fu9YJVZmNkj,38.8906,-77.0123
131,2021:01:06 19:46:27,"38 deg 53' 24.00"" N, 77 deg 0' 35.64"" W",True,iPhone 7 Plus,7iB22C7LbbNy,38.89,-77.0099
132,2021:01:06 20:10:24,"38 deg 53' 23.28"" N, 77 deg 0' 36.00"" W",True,iPhone 11,7ImZGTdfdcUk,38.8898,-77.01
133,2021:01:06 15:58:06,"38 deg 53' 29.40"" N, 77 deg 1' 59.88"" W",True,iPhone 11,7JHuazklsU8v,38.8915,-77.0333
134,2021:01:06 13:19:12,"38 deg 53' 20.76"" N, 77 deg 2' 12.48"" W",True,iPhone 11 Pro Max,7lZbNvTpYzCg,38.8891,-77.0368
135,2021:01:06 19:16:54,"38 deg 53' 23.64"" N, 77 deg 0' 39.24"" W",True,,7n9O8ZT8uXvQ,38.8899,-77.0109
136,2021:01:06 20:21:40,"38 deg 53' 22.20"" N, 77 deg 0' 37.44"" W",True,iPhone XR,7WJTCduTUKpl,38.8895,-77.0104
137,2021:01:06 20:24:46,"38 deg 53' 25.08"" N, 77 deg 0' 38.16"" W",True,iPhone 8,7zAhxOgZLwXG,38.890299999999996,-77.0106
138,2021:01:06 19:41:59,"38 deg 53' 26.88"" N, 77 deg 0' 43.20"" W",True,iPhone X,7zqjUDoBOHwI,38.8908,-77.012
139,2021:01:06 19:20:41,"38 deg 53' 22.20"" N, 77 deg 0' 36.72"" W",True,iPhone 12 Pro,8154Nmd3bQq2,38.8895,-77.0102
140,2021:01:06 16:58:49,"38 deg 53' 29.04"" N, 77 deg 2' 11.04"" W",True,iPhone 11 Pro Max,83QmTetHJ5T5,38.8914,-77.0364
141,2021:01:06 18:44:20,"38 deg 53' 26.52"" N, 77 deg 0' 43.56"" W",True,iPhone 11 Pro Max,86ax9hKzrs9T,38.8907,-77.0121
142,2021:01:06 13:40:32,"38 deg 53' 31.92"" N, 77 deg 2' 15.00"" W",True,iPhone 11,8c4mOel34hEc,38.8922,-77.0375
143,2021:01:06 21:33:07,"38 deg 53' 24.00"" N, 77 deg 0' 37.08"" W",True,iPhone 11 Pro Max,8dLyJxfRn3cI,38.89,-77.0103
144,2021:01:06 00:17:28,"38 deg 53' 44.88"" N, 77 deg 1' 52.32"" W",True,iPhone XS Max,8dQ1t0NGI7M0,38.8958,-77.0312
145,2021:01:06 22:26:00,"38 deg 53' 26.16"" N, 77 deg 0' 37.08"" W",True,iPhone XS Max,8fGidwR3eLor,38.8906,-77.0103
146,2021:01:06 19:38:18,"38 deg 53' 23.28"" N, 77 deg 0' 29.52"" W",True,iPhone SE (2nd generation),8fsC1EfPO70k,38.8898,-77.0082
147,2021:01:06 21:39:16,"38 deg 53' 23.28"" N, 77 deg 0' 36.00"" W",True,iPhone XS,8ONiSixYGejX,38.8898,-77.01
148,2021:01:06 19:35:51,"38 deg 53' 22.92"" N, 77 deg 0' 29.88"" W",True,iPhone XS Max,8rCpNjS3g3Ok,38.8897,-77.0083
149,2021:01:06 22:39:30,"38 deg 53' 25.80"" N, 77 deg 0' 43.56"" W",True,iPhone XS Max,8vAuY7nxkr6M,38.8905,-77.0121
150,2021:01:06 19:25:51,"38 deg 53' 22.20"" N, 77 deg 0' 52.92"" W",True,iPhone 11,8VMk101M62ol,38.8895,-77.0147
151,2021:01:06 19:54:28,"38 deg 53' 23.28"" N, 77 deg 0' 30.24"" W",True,iPhone 11,8wCMdWEW39Ff,38.8898,-77.0084
152,2021:01:06 19:29:52,"38 deg 53' 25.44"" N, 77 deg 0' 39.60"" W",True,iPhone 8 Plus,8wZMDTyKo5Tm,38.8904,-77.011
