Created,GPS,DC Latitude,Model,POST ID
2021:01:06 20:02:11,"38 deg 53' 23.64"" N, 77 deg 0' 36.36"" W",TRUE,iPhone 12,55IZysHw38wO
2021:01:06 20:19:25,"38 deg 53' 23.28"" N, 77 deg 0' 37.80"" W",TRUE,iPhone 7,58lWitKHBAbq
2021:01:06 21:04:06,"38 deg 53' 23.64"" N, 77 deg 0' 31.68"" W",TRUE,iPhone 12 Pro,5an2kTUFQs2t
2021:01:06 20:55:25,"38 deg 53' 22.92"" N, 77 deg 0' 37.80"" W",TRUE,iPhone 11,5E16pZQTISLc
2021:01:06 18:06:20,"38 deg 53' 24.00"" N, 77 deg 0' 37.80"" W",TRUE,iPhone 7,5F4X9i7bivo4
2021:01:06 17:29:06,"38 deg 53' 28.32"" N, 77 deg 2' 2.76"" W",TRUE,iPhone 7 Plus,5GIdUYtOQZvC
2021:01:06 19:36:20,"38 deg 53' 23.28"" N, 77 deg 0' 30.60"" W",TRUE,iPhone 12 Pro Max,5kf2savkefB7
2021:01:06 20:21:40,"38 deg 53' 22.20"" N, 77 deg 0' 37.44"" W",TRUE,iPhone XR,5KP7PnNWK4Ue
2021:01:06 20:25:41,"38 deg 53' 25.80"" N, 77 deg 0' 42.84"" W",TRUE,iPhone 8 Plus,5L54o4c0fxCG
2021:01:06 19:50:58,"38 deg 53' 21.84"" N, 77 deg 0' 39.60"" W",TRUE,iPhone 7,5lmXbMBh57vI
2021:01:06 18:55:26,"38 deg 53' 24.72"" N, 77 deg 0' 37.44"" W",TRUE,iPhone 12 Pro Max,5nYkXwoED2es
2021:01:06 18:10:45,"38 deg 53' 43.08"" N, 77 deg 2' 0.24"" W",TRUE,null,5QCkdwJRD0a3
2021:01:06 18:26:34,"38 deg 53' 30.84"" N, 77 deg 1' 29.64"" W",TRUE,iPhone 7 Plus,5Uwz75EfuKZn
2021:01:06 17:07:48,"38 deg 53' 31.92"" N, 77 deg 2' 6.72"" W",TRUE,iPhone 11,5V9nwv8lo2mi
2021:01:06 15:11:32,"38 deg 53' 39.48"" N, 77 deg 2' 0.96"" W",TRUE,iPhone XR,5vsrnDL8ezuz
2021:01:06 20:17:40,"38 deg 53' 22.92"" N, 77 deg 0' 37.80"" W",TRUE,iPhone 12 Pro Max,5WD4sk51MUzc
2021:01:06 15:11:32,"38 deg 53' 39.48"" N, 77 deg 2' 0.96"" W",TRUE,iPhone XR,5XnrzvP3TPee
2021:01:06 18:10:41,"38 deg 53' 36.96"" N, 77 deg 2' 12.12"" W",TRUE,iPhone XS,63ExNlmUp31h
2021:01:06 23:34:27,"38 deg 53' 46.32"" N, 77 deg 1' 55.56"" W",TRUE,iPhone SE (2nd generation),64mhsecOOjLa
2021:01:06 19:36:58,"38 deg 53' 23.28"" N, 77 deg 0' 37.80"" W",TRUE,iPhone 12 Pro Max,65TvMK7dx9fy
2021:01:06 21:39:03,"38 deg 53' 24.36"" N, 77 deg 0' 36.36"" W",TRUE,iPhone 6s Plus,69WACz6SPQg8
2021:01:06 19:01:49,"38 deg 53' 28.32"" N, 77 deg 0' 54.36"" W",TRUE,iPhone XS Max,6dDTCsYzK3k3
2021:01:06 19:28:31,"38 deg 53' 22.92"" N, 77 deg 0' 37.08"" W",TRUE,iPhone 12,6FY6c0d8IMjz
2021:01:06 23:15:26,"38 deg 53' 23.28"" N, 77 deg 0' 37.08"" W",TRUE,iPhone 11 Pro Max,6JbG6I0FrJhn
2021:01:06 18:21:48,"38 deg 53' 24.00"" N, 77 deg 0' 41.76"" W",TRUE,iPhone 7 Plus,6JKN4W2L1wBv
2021:01:06 15:29:17,"38 deg 53' 26.52"" N, 77 deg 2' 8.52"" W",TRUE,null,6MmRehcrcAwY
2021:01:06 19:53:25,"38 deg 53' 25.08"" N, 77 deg 0' 36.72"" W",TRUE,null,6p2yjz4nBLcd
2021:01:06 14:44:53,"38 deg 53' 27.60"" N, 77 deg 2' 9.96"" W",TRUE,iPhone 8,6sXRv5Xe53o0
2021:01:06 18:55:26,"38 deg 53' 24.72"" N, 77 deg 0' 37.44"" W",TRUE,iPhone 12 Pro Max,6TYMFzQTLUTN
2021:01:06 20:21:40,"38 deg 53' 22.20"" N, 77 deg 0' 37.44"" W",TRUE,iPhone XR,6VYEdaOOP3hD
2021:01:06 21:42:32,"38 deg 53' 33.36"" N, 77 deg 1' 35.76"" W",TRUE,iPhone 12,6X2ZhStzVa3k
